"DateTime","Players","Players Trend","Twitch Viewers"
"2022-06-03 02:50:00",155808,193599.19444444447,0
"2022-06-03 03:00:00",157067,193679.76276648487,69159
"2022-06-03 03:10:00",157714,193775.99373726104,69530
"2022-06-03 03:20:00",158014,193888.01327604253,69700
"2022-06-03 03:30:00",158552,194009.90492274007,72882
"2022-06-03 03:40:00",158599,194140.4103729411,70630
"2022-06-03 03:50:00",159186,194284.29074297048,74245
"2022-06-03 04:00:00",159168,194434.0234671955,77259
"2022-06-03 04:10:00",159839,194592.43908031727,77443
"2022-06-03 04:20:00",161552,194761.7721809067,79435
"2022-06-03 04:30:00",163819,194942.1296310902,79416
"2022-06-03 04:40:00",166572,195129.29422134082,79839
"2022-06-03 04:50:00",169399,195326.12486625434,74529
"2022-06-03 05:00:00",172103,195527.91462450122,67744
"2022-06-03 05:10:00",175560,195729.53905965952,59654
"2022-06-03 05:20:00",178706,195928.2547237371,58416
"2022-06-03 05:30:00",181762,196131.1494119834,58214
"2022-06-03 05:40:00",185362,196339.9037073762,56955
"2022-06-03 05:50:00",189152,196551.722783243,50672
"2022-06-03 06:00:00",191923,196761.768914229,51578
"2022-06-03 06:10:00",195204,196969.71761849674,50710
"2022-06-03 06:20:00",198015,197179.55991997317,48390
"2022-06-03 06:30:00",199995,197391.2996890561,48014
"2022-06-03 06:40:00",201189,197611.9745772049,47469
"2022-06-03 06:50:00",202669,197846.17154175625,47313
"2022-06-03 07:00:00",204307,198089.10899660588,47960
"2022-06-03 07:10:00",205500,198335.33722043192,44326
"2022-06-03 07:20:00",207258,198583.42056212676,45704
"2022-06-03 07:30:00",208642,198832.0062785291,47950
"2022-06-03 07:40:00",209823,199079.01753429192,46576
"2022-06-03 07:50:00",210733,199324.0246771173,47143
"2022-06-03 08:00:00",211414,199567.0766092382,46459
"2022-06-03 08:10:00",212195,199804.61418567182,46746
"2022-06-03 08:20:00",212810,200030.54664599278,44495
"2022-06-03 08:30:00",212909,200258.07790772486,44589
"2022-06-03 08:40:00",212318,200482.53755577593,44044
"2022-06-03 08:50:00",211215,200705.01680535273,44693
"2022-06-03 09:00:00",209225,200924.92293792247,47257
"2022-06-03 09:10:00",205918,201140.27619030976,46192
"2022-06-03 09:20:00",202609,201350.01986586247,45803
"2022-06-03 09:30:00",199292,201558.5763346414,46322
"2022-06-03 09:40:00",195818,201762.55193159735,45016
"2022-06-03 09:50:00",192937,201947.1389243594,46231
"2022-06-03 10:00:00",189904,202118.03107112282,46938
"2022-06-03 10:10:00",188106,202280.42814066555,47942
"2022-06-03 10:20:00",187494,202434.95605409582,46260
"2022-06-03 10:30:00",187258,202577.51929938616,48507
"2022-06-03 10:40:00",189024,202719.5051713216,49503
"2022-06-03 10:50:00",191281,202859.03333716985,51546
"2022-06-03 11:00:00",193676,202998.30495785832,53041
"2022-06-03 11:10:00",197041,203143.7679420596,53008
"2022-06-03 11:20:00",202921,203300.75526825417,57585
"2022-06-03 11:30:00",209655,203458.0624415348,57742
"2022-06-03 11:40:00",217551,203611.7589103731,57900
"2022-06-03 11:50:00",225940,203776.00840914113,60777
"2022-06-03 12:00:00",235646,203947.87898399332,62909
"2022-06-03 12:10:00",246843,204119.24474242347,65178
"2022-06-03 12:20:00",257614,204284.66122536993,66690
"2022-06-03 12:30:00",268448,204448.5167733868,67006
"2022-06-03 12:40:00",279227,204602.59428744574,60832
"2022-06-03 12:50:00",288896,204743.5757149725,61938
"2022-06-03 13:00:00",298189,204876.0215893402,73650
"2022-06-03 13:10:00",307201,205002.48257568618,80496
"2022-06-03 13:20:00",315895,205108.08140011306,81185
"2022-06-03 13:30:00",323029,205220.03549588125,88305
"2022-06-03 13:40:00",329223,205326.12151760547,85093
"2022-06-03 13:50:00",332654,205429.99540087747,84560
"2022-06-03 14:00:00",334160,205538.22861802139,85816
"2022-06-03 14:10:00",333497,205651.70107123876,89017
"2022-06-03 14:20:00",333624,205787.4487876857,84175
"2022-06-03 14:30:00",332918,205924.3693163568,84652
"2022-06-03 14:40:00",330641,206059.62736186862,86218
"2022-06-03 14:50:00",327851,206190.26583151854,86423
"2022-06-03 15:00:00",322259,206325.37222795436,83701
"2022-06-03 15:10:00",314798,206458.71386712947,82723
"2022-06-03 15:20:00",307681,206590.42662478585,83181
"2022-06-03 15:30:00",299846,206718.46967161706,84783
"2022-06-03 15:40:00",292467,206844.8333449865,83569
"2022-06-03 15:50:00",285060,206964.13782889396,88828
"2022-06-03 16:00:00",275490,207076.8885308214,86167
"2022-06-03 16:10:00",265378,207187.41522598045,84183
"2022-06-03 16:20:00",256333,207291.9276253472,84872
"2022-06-03 16:30:00",248402,207389.91224478986,83892
"2022-06-03 16:40:00",241228,207483.23359676878,85624
"2022-06-03 16:50:00",234345,207569.82477681545,83025
"2022-06-03 17:00:00",227161,207651.198205755,79782
"2022-06-03 17:10:00",219492,207731.531752375,80645
"2022-06-03 17:20:00",213039,207792.51085094883,91880
"2022-06-03 17:30:00",206652,207840.7069861701,89823
"2022-06-03 17:40:00",200779,207884.4909711894,89189
"2022-06-03 17:50:00",195693,207926.9569278124,91142
"2022-06-03 18:00:00",190351,207964.5151484125,92502
"2022-06-03 18:10:00",184326,207998.64268069534,85529
"2022-06-03 18:20:00",179410,208035.65299006915,86557
"2022-06-03 18:30:00",174941,208073.42582891922,85808
"2022-06-03 18:40:00",169238,208110.8211108358,86536
"2022-06-03 18:50:00",165414,208159.1995762254,85339
"2022-06-03 19:00:00",160068,208205.86843463228,94522
"2022-06-03 19:10:00",158670,208263.16256391394,95394
"2022-06-03 19:20:00",155870,208301.861689528,94301
"2022-06-03 19:30:00",153693,208337.5577412539,86089
"2022-06-03 19:40:00",151892,208368.27437532617,91233
"2022-06-03 19:50:00",149965,208386.80886614276,92716
"2022-06-03 20:00:00",147487,208395.16179620672,90475
"2022-06-03 20:10:00",145604,208398.6843243149,90342
"2022-06-03 20:20:00",143894,208381.20754976838,98071
"2022-06-03 20:30:00",141693,208351.31203867603,97836
"2022-06-03 20:40:00",139802,208374.86244238797,99456
"2022-06-03 20:50:00",138393,208412.38381981378,102381
"2022-06-03 21:00:00",136615,208454.1924415199,102574
"2022-06-03 21:10:00",134013,208494.3665349783,102694
"2022-06-03 21:20:00",132191,208535.33051010862,105441
"2022-06-03 21:30:00",130126,208573.918824761,101924
"2022-06-03 21:40:00",126889,208612.27793434178,104659
"2022-06-03 21:50:00",124462,208658.0433505422,105946
"2022-06-03 22:00:00",122311,208705.42363046296,102543
"2022-06-03 22:10:00",120111,208749.16074425084,101026
"2022-06-03 22:20:00",118680,208790.39535791354,104818
"2022-06-03 22:30:00",117188,208825.61533087457,103895
"2022-06-03 22:40:00",115991,208856.86243320667,101983
"2022-06-03 22:50:00",115024,208884.04599139068,97527
"2022-06-03 23:00:00",114064,208905.4777993612,92153
"2022-06-03 23:10:00",113578,208922.91941145927,93738
"2022-06-03 23:20:00",113242,208931.990172912,87301
"2022-06-03 23:30:00",113506,208940.20002297143,87996
